timestamp,cpu_percent,rss_kb
2026-09-04T17:29:55+08:00,10.6,108012
2026-09-04T17:29:56+08:00,10.9,108012
2026-09-04T17:29:58+08:00,11.2,108012
2026-09-04T17:29:59+08:00,11.5,108012
2026-09-04T17:30:00+08:00,11.8,108648
2026-09-04T17:30:01+08:00,12.1,108648
2026-09-04T17:30:02+08:00,12.2,108648
2026-09-04T17:30:03+08:00,12.5,108648
2026-09-04T17:30:05+08:00,12.9,108648
2026-09-04T17:30:06+08:00,13.2,108648
2026-09-04T17:30:07+08:00,13.4,108648
2026-09-04T17:30:08+08:00,13.6,108648
2026-09-04T17:30:09+08:00,13.7,108648
2026-09-04T17:30:11+08:00,13.9,108648
2026-09-04T17:30:12+08:00,14.1,108648
2026-09-04T17:30:13+08:00,14.4,108648
2026-09-04T17:30:14+08:00,14.6,108648
2026-09-04T17:30:15+08:00,14.8,108648
2026-09-04T17:30:16+08:00,14.9,108652
2026-09-04T17:30:18+08:00,15.1,108652
2026-09-04T17:30:19+08:00,15.3,108652
2026-09-04T17:30:20+08:00,15.5,108652
2026-09-04T17:30:21+08:00,15.7,108652
2026-09-04T17:30:22+08:00,15.9,108652
2026-09-04T17:30:23+08:00,16.0,110700
2026-09-04T17:30:25+08:00,16.4,110700
2026-09-04T17:30:26+08:00,17.0,111184
2026-09-04T17:30:27+08:00,17.4,111184
2026-09-04T17:30:28+08:00,17.9,111184
2026-09-04T17:30:29+08:00,18.4,111188
2026-09-04T17:30:30+08:00,18.7,111280
2026-09-04T17:30:32+08:00,19.2,111280
2026-09-04T17:30:33+08:00,19.7,111280
2026-09-04T17:30:34+08:00,20.1,111328
2026-09-04T17:30:35+08:00,20.5,111328
2026-09-04T17:30:36+08:00,21.0,111328
2026-09-04T17:30:37+08:00,21.2,111328
2026-09-04T17:30:39+08:00,21.6,111328
2026-09-04T17:30:40+08:00,22.1,111328
2026-09-04T17:30:41+08:00,22.4,111328
2026-09-04T17:30:42+08:00,22.8,111328
2026-09-04T17:30:43+08:00,23.2,111328
2026-09-04T17:30:44+08:00,23.3,111328
2026-09-04T17:30:46+08:00,23.7,111328
2026-09-04T17:30:47+08:00,24.1,111328
2026-09-04T17:30:48+08:00,24.4,111328
2026-09-04T17:30:49+08:00,24.8,111328
2026-09-04T17:30:50+08:00,24.9,111328
2026-09-04T17:30:51+08:00,25.2,111340
2026-09-04T17:30:53+08:00,25.6,111344
2026-09-04T17:30:54+08:00,25.8,111816
2026-09-04T17:30:55+08:00,26.5,112736
2026-09-04T17:30:56+08:00,27.2,112756
2026-09-04T17:30:57+08:00,27.6,112756
2026-09-04T17:30:58+08:00,28.3,112756
2026-09-04T17:31:00+08:00,29.0,112756
2026-09-04T17:31:01+08:00,29.6,112756
2026-09-04T17:31:02+08:00,30.3,112756
2026-09-04T17:31:03+08:00,30.9,112756
2026-09-04T17:31:04+08:00,31.3,112756
2026-09-04T17:31:06+08:00,31.9,112756
2026-09-04T17:31:07+08:00,32.5,112756
2026-09-04T17:31:08+08:00,33.1,112756
2026-09-04T17:31:09+08:00,33.6,112756
2026-09-04T17:31:10+08:00,34.2,112756
2026-09-04T17:31:11+08:00,34.5,115280
2026-09-04T17:31:13+08:00,35.1,115280
2026-09-04T17:31:14+08:00,35.7,115280
2026-09-04T17:31:15+08:00,36.2,115280
2026-09-04T17:31:16+08:00,36.8,115280
2026-09-04T17:31:17+08:00,37.3,115280
2026-09-04T17:31:18+08:00,37.6,115280
2026-09-04T17:31:20+08:00,38.1,115280
2026-09-04T17:31:21+08:00,38.7,115280
2026-09-04T17:31:22+08:00,39.2,115280
2026-09-04T17:31:23+08:00,39.6,115324
